candidate_id,add_step,subtract_step,multiply_step,divide_step,full_group,four_distinct_steps,translated_mode_union_size,minimum_pairwise_mode_symmetric_difference,minimum_development_path_coverage,minimum_primitive_order,development_path_coverages,score,equivalence_key,top_score,selected_equivalence_class
a02_m01,2,10,1,11,True,True,12,6,4,6,4;10;7;4,1;1;12;6;4;6,"1,2",False,False
a02_m02,2,10,2,10,False,False,11,0,3,6,3;6;5;3,0;0;11;0;3;6,"2,2",False,False
a02_m03,2,10,3,9,True,True,11,6,4,4,4;8;8;6,1;1;11;6;4;4,"2,3",False,False
a02_m04,2,10,4,8,False,True,12,6,4,3,4;6;6;5,0;1;12;6;4;3,"2,4",False,False
a02_m05,2,10,5,7,True,True,12,6,4,6,4;10;6;6,1;1;12;6;4;6,"1,10",False,False
a02_m06,2,10,6,6,False,False,12,0,4,2,4;6;6;5,0;0;12;0;4;2,"2,6",False,False
a02_m07,2,10,7,5,True,True,12,6,4,6,4;10;7;4,1;1;12;6;4;6,"1,2",False,False
a02_m08,2,10,8,4,False,True,12,6,4,3,4;6;6;5,0;1;12;6;4;3,"2,8",False,False
a02_m09,2,10,9,3,True,True,11,6,4,4,4;8;8;6,1;1;11;6;4;4,"2,3",False,False
a02_m10,2,10,10,2,False,False,11,0,3,6,3;6;4;5,0;0;11;0;3;6,"2,10",False,False
a02_m11,2,10,11,1,True,True,12,6,4,6,4;10;6;6,1;1;12;6;4;6,"1,10",False,False
a03_m00,3,9,0,0,False,False,11,0,2,1,2;4;3;3,0;0;11;0;2;1,"0,3",False,False
a03_m01,3,9,1,11,True,True,12,6,4,4,4;8;8;6,1;1;12;6;4;4,"1,3",False,False
a03_m02,3,9,2,10,True,True,11,6,4,4,4;8;8;6,1;1;11;6;4;4,"2,3",False,False
a03_m03,3,9,3,9,False,False,10,0,3,4,3;4;4;3,0;0;10;0;3;4,"3,3",False,False
a03_m04,3,9,4,8,True,True,11,6,4,3,4;8;8;6,1;1;11;6;4;3,"3,4",False,False
a03_m05,3,9,5,7,True,True,12,6,4,4,4;8;8;6,1;1;12;6;4;4,"1,3",False,False
a03_m06,3,9,6,6,False,False,11,0,4,2,4;4;4;4,0;0;11;0;4;2,"3,6",False,False
a03_m07,3,9,7,5,True,True,12,6,4,4,4;8;8;6,1;1;12;6;4;4,"1,9",False,False
a03_m08,3,9,8,4,True,True,11,6,4,3,4;8;8;6,1;1;11;6;4;3,"3,4",False,False
a03_m09,3,9,9,3,False,False,10,0,3,4,3;4;4;4,0;0;10;0;3;4,"3,9",False,False
a03_m10,3,9,10,2,True,True,11,6,4,4,4;8;8;6,1;1;11;6;4;4,"2,3",False,False
a03_m11,3,9,11,1,True,True,12,6,4,4,4;8;8;6,1;1;12;6;4;4,"1,9",False,False
a04_m00,4,8,0,0,False,False,12,0,2,1,2;3;3;3,0;0;12;0;2;1,"0,4",False,False
a04_m01,4,8,1,11,True,True,12,6,4,3,4;8;8;6,1;1;12;6;4;3,"1,4",False,False
a04_m02,4,8,2,10,False,True,12,6,4,3,4;6;6;4,0;1;12;6;4;3,"2,4",False,False
a04_m03,4,8,3,9,True,True,11,6,4,3,4;8;8;6,1;1;11;6;4;3,"3,4",False,False
a04_m04,4,8,4,8,False,False,11,0,3,3,3;3;3;3,0;0;11;0;3;3,"4,4",False,False
a04_m05,4,8,5,7,True,True,12,6,4,3,4;8;8;6,1;1;12;6;4;3,"1,8",False,False
a04_m06,4,8,6,6,False,False,11,0,4,2,4;6;6;5,0;0;11;0;4;2,"4,6",False,False
a04_m07,4,8,7,5,True,True,12,6,4,3,4;8;8;6,1;1;12;6;4;3,"1,4",False,False
a04_m08,4,8,8,4,False,False,11,0,3,3,3;3;3;3,0;0;11;0;3;3,"4,8",False,False
a04_m09,4,8,9,3,True,True,11,6,4,3,4;8;8;6,1;1;11;6;4;3,"3,4",False,False
a04_m10,4,8,10,2,False,True,12,6,4,3,4;6;6;5,0;1;12;6;4;3,"2,8",False,False
a04_m11,4,8,11,1,True,True,12,6,4,3,4;8;8;6,1;1;12;6;4;3,"1,8",False,False
a05_m00,5,7,0,0,True,False,12,0,2,1,2;4;3;3,1;0;12;0;2;1,"0,1",False,False
a05_m01,5,7,1,11,True,True,12,6,4,12,4;9;7;6,1;1;12;6;4;12,"1,5",True,False
a05_m02,5,7,2,10,True,True,12,6,4,6,4;10;6;6,1;1;12;6;4;6,"1,10",False,False
a05_m03,5,7,3,9,True,True,12,6,4,4,4;8;8;6,1;1;12;6;4;4,"1,3",False,False
a05_m04,5,7,4,8,True,True,12,6,4,3,4;8;8;6,1;1;12;6;4;3,"1,8",False,False
a05_m05,5,7,5,7,True,False,10,0,3,12,3;7;5;3,1;0;10;0;3;12,"1,1",False,False
a05_m06,5,7,6,6,True,False,12,0,4,2,4;8;6;5,1;0;12;0;4;2,"1,6",False,False
a05_m07,5,7,7,5,True,False,10,0,3,12,3;7;4;5,1;0;10;0;3;12,"1,11",False,False
a05_m08,5,7,8,4,True,True,12,6,4,3,4;8;8;6,1;1;12;6;4;3,"1,4",False,False
a05_m09,5,7,9,3,True,True,12,6,4,4,4;8;8;6,1;1;12;6;4;4,"1,9",False,False
a05_m10,5,7,10,2,True,True,12,6,4,6,4;10;7;5,1;1;12;6;4;6,"1,2",False,False
a05_m11,5,7,11,1,True,True,12,6,4,12,4;9;8;5,1;1;12;6;4;12,"1,7",True,False
a06_m00,6,6,0,0,False,False,10,0,2,1,2;2;2;2,0;0;10;0;2;1,"0,6",False,False
a06_m01,6,6,1,11,True,False,12,0,4,2,4;8;6;6,1;0;12;0;4;2,"1,6",False,False
a06_m02,6,6,2,10,False,False,12,0,4,2,4;6;6;6,0;0;12;0;4;2,"2,6",False,False
a06_m03,6,6,3,9,False,False,11,0,4,2,4;4;4;4,0;0;11;0;4;2,"3,6",False,False
a06_m04,6,6,4,8,False,False,11,0,4,2,4;6;6;6,0;0;11;0;4;2,"4,6",False,False
a06_m05,6,6,5,7,True,False,12,0,4,2,4;8;6;6,1;0;12;0;4;2,"1,6",False,False
a06_m06,6,6,6,6,False,False,7,0,2,2,2;2;2;2,0;0;7;0;2;2,"6,6",False,False
a06_m07,6,6,7,5,True,False,12,0,4,2,4;8;6;6,1;0;12;0;4;2,"1,6",False,False
a06_m08,6,6,8,4,False,False,11,0,4,2,4;6;6;6,0;0;11;0;4;2,"4,6",False,False
a06_m09,6,6,9,3,False,False,11,0,4,2,4;4;4;4,0;0;11;0;4;2,"3,6",False,False
a06_m10,6,6,10,2,False,False,12,0,4,2,4;6;6;6,0;0;12;0;4;2,"2,6",False,False
a06_m11,6,6,11,1,True,False,12,0,4,2,4;8;6;6,1;0;12;0;4;2,"1,6",False,False
a07_m00,7,5,0,0,True,False,12,0,2,1,2;4;3;3,1;0;12;0;2;1,"0,1",False,False
a07_m01,7,5,1,11,True,True,12,6,4,12,4;9;8;5,1;1;12;6;4;12,"1,7",True,False
a07_m02,7,5,2,10,True,True,12,6,4,6,4;10;7;5,1;1;12;6;4;6,"1,2",False,False
a07_m03,7,5,3,9,True,True,12,6,4,4,4;8;8;6,1;1;12;6;4;4,"1,9",False,False
a07_m04,7,5,4,8,True,True,12,6,4,3,4;8;8;6,1;1;12;6;4;3,"1,4",False,False
a07_m05,7,5,5,7,True,False,10,0,3,12,3;7;4;5,1;0;10;0;3;12,"1,11",False,False
a07_m06,7,5,6,6,True,False,12,0,4,2,4;8;6;5,1;0;12;0;4;2,"1,6",False,False
a07_m07,7,5,7,5,True,False,10,0,3,12,3;7;5;3,1;0;10;0;3;12,"1,1",False,False
a07_m08,7,5,8,4,True,True,12,6,4,3,4;8;8;6,1;1;12;6;4;3,"1,8",False,False
a07_m09,7,5,9,3,True,True,12,6,4,4,4;8;8;6,1;1;12;6;4;4,"1,3",False,False
a07_m10,7,5,10,2,True,True,12,6,4,6,4;10;6;6,1;1;12;6;4;6,"1,10",False,False
a07_m11,7,5,11,1,True,True,12,6,4,12,4;9;7;6,1;1;12;6;4;12,"1,5",True,False
a08_m00,8,4,0,0,False,False,12,0,2,1,2;3;3;3,0;0;12;0;2;1,"0,4",False,False
a08_m01,8,4,1,11,True,True,12,6,4,3,4;8;8;6,1;1;12;6;4;3,"1,8",False,False
a08_m02,8,4,2,10,False,True,12,6,4,3,4;6;6;5,0;1;12;6;4;3,"2,8",False,False
a08_m03,8,4,3,9,True,True,11,6,4,3,4;8;8;6,1;1;11;6;4;3,"3,4",False,False
a08_m04,8,4,4,8,False,False,11,0,3,3,3;3;3;3,0;0;11;0;3;3,"4,8",False,False
a08_m05,8,4,5,7,True,True,12,6,4,3,4;8;8;6,1;1;12;6;4;3,"1,4",False,False
a08_m06,8,4,6,6,False,False,11,0,4,2,4;6;6;5,0;0;11;0;4;2,"4,6",False,False
a08_m07,8,4,7,5,True,True,12,6,4,3,4;8;8;6,1;1;12;6;4;3,"1,8",False,False
a08_m08,8,4,8,4,False,False,11,0,3,3,3;3;3;3,0;0;11;0;3;3,"4,4",False,False
a08_m09,8,4,9,3,True,True,11,6,4,3,4;8;8;6,1;1;11;6;4;3,"3,4",False,False
a08_m10,8,4,10,2,False,True,12,6,4,3,4;6;6;4,0;1;12;6;4;3,"2,4",False,False
a08_m11,8,4,11,1,True,True,12,6,4,3,4;8;8;6,1;1;12;6;4;3,"1,4",False,False
a09_m00,9,3,0,0,False,False,11,0,2,1,2;4;3;3,0;0;11;0;2;1,"0,3",False,False
a09_m01,9,3,1,11,True,True,12,6,4,4,4;8;8;6,1;1;12;6;4;4,"1,9",False,False
a09_m02,9,3,2,10,True,True,11,6,4,4,4;8;8;6,1;1;11;6;4;4,"2,3",False,False
a09_m03,9,3,3,9,False,False,10,0,3,4,3;4;4;4,0;0;10;0;3;4,"3,9",False,False
a09_m04,9,3,4,8,True,True,11,6,4,3,4;8;8;6,1;1;11;6;4;3,"3,4",False,False
a09_m05,9,3,5,7,True,True,12,6,4,4,4;8;8;6,1;1;12;6;4;4,"1,9",False,False
a09_m06,9,3,6,6,False,False,11,0,4,2,4;4;4;4,0;0;11;0;4;2,"3,6",False,False
a09_m07,9,3,7,5,True,True,12,6,4,4,4;8;8;6,1;1;12;6;4;4,"1,3",False,False
a09_m08,9,3,8,4,True,True,11,6,4,3,4;8;8;6,1;1;11;6;4;3,"3,4",False,False
a09_m09,9,3,9,3,False,False,10,0,3,4,3;4;4;3,0;0;10;0;3;4,"3,3",False,False
a09_m10,9,3,10,2,True,True,11,6,4,4,4;8;8;6,1;1;11;6;4;4,"2,3",False,False
a09_m11,9,3,11,1,True,True,12,6,4,4,4;8;8;6,1;1;12;6;4;4,"1,3",False,False
a10_m00,10,2,0,0,False,False,11,0,2,1,2;4;3;3,0;0;11;0;2;1,"0,2",False,False
a10_m01,10,2,1,11,True,True,12,6,4,6,4;10;6;6,1;1;12;6;4;6,"1,10",False,False
a10_m02,10,2,2,10,False,False,11,0,3,6,3;6;4;5,0;0;11;0;3;6,"2,10",False,False
a10_m03,10,2,3,9,True,True,11,6,4,4,4;8;8;6,1;1;11;6;4;4,"2,3",False,False
a10_m04,10,2,4,8,False,True,12,6,4,3,4;6;6;5,0;1;12;6;4;3,"2,8",False,False
a10_m05,10,2,5,7,True,True,12,6,4,6,4;10;7;4,1;1;12;6;4;6,"1,2",False,False
a10_m06,10,2,6,6,False,False,12,0,4,2,4;6;6;5,0;0;12;0;4;2,"2,6",False,False
a10_m07,10,2,7,5,True,True,12,6,4,6,4;10;6;6,1;1;12;6;4;6,"1,10",False,False
a10_m08,10,2,8,4,False,True,12,6,4,3,4;6;6;5,0;1;12;6;4;3,"2,4",False,False
a10_m09,10,2,9,3,True,True,11,6,4,4,4;8;8;6,1;1;11;6;4;4,"2,3",False,False
a10_m10,10,2,10,2,False,False,11,0,3,6,3;6;5;3,0;0;11;0;3;6,"2,2",False,False
a10_m11,10,2,11,1,True,True,12,6,4,6,4;10;7;4,1;1;12;6;4;6,"1,2",False,False
a11_m00,11,1,0,0,True,False,12,0,2,1,2;4;3;3,1;0;12;0;2;1,"0,1",False,False
a11_m01,11,1,1,11,True,False,10,0,3,12,3;7;4;5,1;0;10;0;3;12,"1,11",False,False
a11_m02,11,1,2,10,True,True,12,6,4,6,4;10;6;6,1;1;12;6;4;6,"1,10",False,False
a11_m03,11,1,3,9,True,True,12,6,4,4,4;8;8;6,1;1;12;6;4;4,"1,9",False,False
a11_m04,11,1,4,8,True,True,12,6,4,3,4;8;8;6,1;1;12;6;4;3,"1,8",False,False
a11_m05,11,1,5,7,True,True,12,6,4,12,4;9;8;5,1;1;12;6;4;12,"1,7",True,False
a11_m06,11,1,6,6,True,False,12,0,4,2,4;8;6;5,1;0;12;0;4;2,"1,6",False,False
a11_m07,11,1,7,5,True,True,12,6,4,12,4;9;7;6,1;1;12;6;4;12,"1,5",True,False
a11_m08,11,1,8,4,True,True,12,6,4,3,4;8;8;6,1;1;12;6;4;3,"1,4",False,False
a11_m09,11,1,9,3,True,True,12,6,4,4,4;8;8;6,1;1;12;6;4;4,"1,3",False,False
a11_m10,11,1,10,2,True,True,12,6,4,6,4;10;7;5,1;1;12;6;4;6,"1,2",False,False
a11_m11,11,1,11,1,True,False,10,0,3,12,3;7;5;3,1;0;10;0;3;12,"1,1",False,False
